Variable,Breakdown,Breakdown_category,Year,RD_Value,Status,Unit,Footnotes,Relative_Sampling_Error
_01_Total_RD_Expenditure,ANZSIC_1_Digit,C_Manufacturing,2020,825,,NZ Dollars (millions),12,7.6
_01_Total_RD_Expenditure,ANZSIC_1_Digit,C_Manufacturing,2021,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,C_Manufacturing,2022,795,P,NZ Dollars (millions),12,7.3
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2016,6,,NZ Dollars (millions),3 and 12,44
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2018,6,,NZ Dollars (millions),3 and 12,60.1
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2019,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2020,26,,NZ Dollars (millions),3 and 12,40
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2021,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2022,36,P,NZ Dollars (millions),3 and 12,64.1
_01_Total_RD_Expenditure,ANZSIC_1_Digit,E_Construction,2016,13,,NZ Dollars (millions),12,103.7
_01_Total_RD_Expenditure,ANZSIC_1_Digit,E_Construction,2018,11,,NZ Dollars (millions),12,49.6
_01_Total_RD_Expenditure,ANZSIC_1_Digit,E_Construction,2019,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,E_Construction,2020,23,,NZ Dollars (millions),12,46.8
_01_Total_RD_Expenditure,ANZSIC_1_Digit,E_Construction,2021,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,E_Construction,2022,28,P,NZ Dollars (millions),12,46.1
_01_Total_RD_Expenditure,ANZSIC_1_Digit,F_Wholesale Trade,2016,111,,NZ Dollars (millions),12,17.3
_01_Total_RD_Expenditure,ANZSIC_1_Digit,F_Wholesale Trade,2018,233,,NZ Dollars (millions),12,40.3
_01_Total_RD_Expenditure,ANZSIC_1_Digit,F_Wholesale Trade,2019,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,F_Wholesale Trade,2020,174,,NZ Dollars (millions),12,21
_01_Total_RD_Expenditure,ANZSIC_1_Digit,F_Wholesale Trade,2021,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,F_Wholesale Trade,2022,193,P,NZ Dollars (millions),12,11.1
_01_Total_RD_Expenditure,ANZSIC_1_Digit,J_Information Media and Telecommunications,2016,52,,NZ Dollars (millions),3 and 12,28.3
_01_Total_RD_Expenditure,ANZSIC_1_Digit,J_Information Media and Telecommunications,2018,90,,NZ Dollars (millions),12,22.8
_01_Total_RD_Expenditure,ANZSIC_1_Digit,J_Information Media and Telecommunications,2019,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,J_Information Media and Telecommunications,2020,127,,NZ Dollars (millions),12,21.2
_01_Total_RD_Expenditure,ANZSIC_1_Digit,J_Information Media and Telecommunications,2021,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,J_Information Media and Telecommunications,2022,166,P,NZ Dollars (millions),12,27.6
_01_Total_RD_Expenditure,ANZSIC_1_Digit,K_Financial and Insurance Services,2016,42,,NZ Dollars (millions),3 and 12,42.1
_01_Total_RD_Expenditure,ANZSIC_1_Digit,K_Financial and Insurance Services,2018,54,,NZ Dollars (millions),12,58.4
_01_Total_RD_Expenditure,ANZSIC_1_Digit,K_Financial and Insurance Services,2019,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,K_Financial and Insurance Services,2020,79,,NZ Dollars (millions),12,45.2
_01_Total_RD_Expenditure,ANZSIC_1_Digit,K_Financial and Insurance Services,2021,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,K_Financial and Insurance Services,2022,122,P,NZ Dollars (millions),12,45.2
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2016,4,,NZ Dollars (millions),3 and 12,52.8
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2018,41,,NZ Dollars (millions),12,162.4
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2019,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2020,17,,NZ Dollars (millions),12,35.3
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2021,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2022,30,P,NZ Dollars (millions),12,44.5
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2016,1152,,NZ Dollars (millions),12,5.4
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2018,1627,,NZ Dollars (millions),12,12.5
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2019,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2020,1924,R,NZ Dollars (millions),12,6.8
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2021,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2022,2335,P,NZ Dollars (millions),12,6.2
_01_Total_RD_Expenditure,ANZSIC_1_Digit,N_Administrative and Support Services,2016,13,,NZ Dollars (millions),3 and 12,25.4
_01_Total_RD_Expenditure,ANZSIC_1_Digit,N_Administrative and Support Services,2018,19,,NZ Dollars (millions),12,51.8
_01_Total_RD_Expenditure,ANZSIC_1_Digit,N_Administrative and Support Services,2019,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,N_Administrative and Support Services,2020,31,,NZ Dollars (millions),12,43.2
_01_Total_RD_Expenditure,ANZSIC_1_Digit,N_Administrative and Support Services,2021,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,N_Administrative and Support Services,2022,25,P,NZ Dollars (millions),12,51.1
_01_Total_RD_Expenditure,ANZSIC_1_Digit,O_Public Administration and Safety,2016,25,,NZ Dollars (millions),3 and 12,29.9
_01_Total_RD_Expenditure,ANZSIC_1_Digit,O_Public Administration and Safety,2018,36,,NZ Dollars (millions),3 and 12,58.7
_01_Total_RD_Expenditure,ANZSIC_1_Digit,O_Public Administration and Safety,2019,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,O_Public Administration and Safety,2020,31,,NZ Dollars (millions),3 and 12,43.8
_01_Total_RD_Expenditure,ANZSIC_1_Digit,O_Public Administration and Safety,2021,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,O_Public Administration and Safety,2022,48,P,NZ Dollars (millions),3 and 12,34.5
_01_Total_RD_Expenditure,ANZSIC_1_Digit,P_Education and Training,2016,877,,NZ Dollars (millions),3 and 12,0
_01_Total_RD_Expenditure,ANZSIC_1_Digit,P_Education and Training,2018,960,,NZ Dollars (millions),3 and 12,0
_01_Total_RD_Expenditure,ANZSIC_1_Digit,P_Education and Training,2019,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,P_Education and Training,2020,1202,R,NZ Dollars (millions),3 and 12,0
_01_Total_RD_Expenditure,ANZSIC_1_Digit,P_Education and Training,2021,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,P_Education and Training,2022,1254,P,NZ Dollars (millions),3 and 12,0
_01_Total_RD_Expenditure,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2016,37,,NZ Dollars (millions),12,81.1
_01_Total_RD_Expenditure,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2018,40,,NZ Dollars (millions),12,36.7
_01_Total_RD_Expenditure,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2019,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2020,70,,NZ Dollars (millions),12,25.8
_01_Total_RD_Expenditure,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2021,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2022,66,P,NZ Dollars (millions),12,19
_01_Total_RD_Expenditure,ANZSIC_1_Digit,R_Arts and Recreation Services,2016,32,,NZ Dollars (millions),3 and 12,134.3
_01_Total_RD_Expenditure,ANZSIC_1_Digit,R_Arts and Recreation Services,2018,6,,NZ Dollars (millions),3 and 12,72.5
_01_Total_RD_Expenditure,ANZSIC_1_Digit,R_Arts and Recreation Services,2019,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,R_Arts and Recreation Services,2020,63,,NZ Dollars (millions),3 and 12,4.4
_01_Total_RD_Expenditure,ANZSIC_1_Digit,R_Arts and Recreation Services,2021,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,R_Arts and Recreation Services,2022,32,P,NZ Dollars (millions),3 and 12,7.5
_01_Total_RD_Expenditure,ANZSIC_1_Digit,S_Other Services,2016,5,,NZ Dollars (millions),3 and 12,58.5
_01_Total_RD_Expenditure,ANZSIC_1_Digit,S_Other Services,2018,26,,NZ Dollars (millions),3 and 12,149.2
_01_Total_RD_Expenditure,ANZSIC_1_Digit,S_Other Services,2019,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,S_Other Services,2020,21,,NZ Dollars (millions),12,21.2
_01_Total_RD_Expenditure,ANZSIC_1_Digit,S_Other Services,2021,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,S_Other Services,2022,17,P,NZ Dollars (millions),12,59.4
_01_Total_RD_Expenditure,Industry,01_Primary Industry Group,2016,96,,NZ Dollars (millions),12,23.8
_01_Total_RD_Expenditure,Industry,01_Primary Industry Group,2018,98,,NZ Dollars (millions),12,49.8
_01_Total_RD_Expenditure,Industry,01_Primary Industry Group,2019,98,,NZ Dollars (millions),12,30.2
_01_Total_RD_Expenditure,Industry,01_Primary Industry Group,2020,101,,NZ Dollars (millions),12,29.7
_01_Total_RD_Expenditure,Industry,01_Primary Industry Group,2021,91,,NZ Dollars (millions),12,26
_01_Total_RD_Expenditure,Industry,01_Primary Industry Group,2022,90,,NZ Dollars (millions),12,42.7
_01_Total_RD_Expenditure,Industry,02_Manufacturing Industry Group,2016,671,,NZ Dollars (millions),12,8.4
_01_Total_RD_Expenditure,Industry,02_Manufacturing Industry Group,2018,673,,NZ Dollars (millions),12,10
_01_Total_RD_Expenditure,Industry,02_Manufacturing Industry Group,2019,763,,NZ Dollars (millions),12,8.4
_01_Total_RD_Expenditure,Industry,02_Manufacturing Industry Group,2020,825,,NZ Dollars (millions),12,7.6
_01_Total_RD_Expenditure,Industry,02_Manufacturing Industry Group,2021,753,,NZ Dollars (millions),12,7
_01_Total_RD_Expenditure,Industry,02_Manufacturing Industry Group,2022,794,,NZ Dollars (millions),12,7.3
_01_Total_RD_Expenditure,Industry,03_Services Industry Group,2016,835,,NZ Dollars (millions),12,9.5
_01_Total_RD_Expenditure,Industry,03_Services Industry Group,2018,1362,,NZ Dollars (millions),12,17.8
_01_Total_RD_Expenditure,Industry,03_Services Industry Group,2019,1546,,NZ Dollars (millions),12,8.5
_01_Total_RD_Expenditure,Industry,03_Services Industry Group,2020,1784,,NZ Dollars (millions),12,8.2
_01_Total_RD_Expenditure,Industry,03_Services Industry Group,2021,1999,,NZ Dollars (millions),12,6.7
_01_Total_RD_Expenditure,Industry,03_Services Industry Group,2022,2209,,NZ Dollars (millions),12,7.9
_01_Total_RD_Expenditure,Industry,04_Government Industry Group,2016,658,,NZ Dollars (millions),3 and 12,3.6
_01_Total_RD_Expenditure,Industry,04_Government Industry Group,2018,828,,NZ Dollars (millions),3 and 12,8
_01_Total_RD_Expenditure,Industry,04_Government Industry Group,2019,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,Industry,04_Government Industry Group,2020,802,R,NZ Dollars (millions),3 and 12,3.1
_01_Total_RD_Expenditure,Industry,04_Government Industry Group,2021,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,Industry,04_Government Industry Group,2022,900,,NZ Dollars (millions),3 and 12,2.3
_01_Total_RD_Expenditure,Industry,05_Higher Education Industry Group,2016,877,,NZ Dollars (millions),3 and 12,0
_01_Total_RD_Expenditure,Industry,05_Higher Education Industry Group,2018,960,,NZ Dollars (millions),3 and 12,0
_01_Total_RD_Expenditure,Industry,05_Higher Education Industry Group,2019,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,Industry,05_Higher Education Industry Group,2020,1202,R,NZ Dollars (millions),3 and 12,0
_01_Total_RD_Expenditure,Industry,05_Higher Education Industry Group,2021,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,Industry,05_Higher Education Industry Group,2022,1254,P,NZ Dollars (millions),3 and 12,0
_01_Total_RD_Expenditure,Published_Industry,01_Primary,2016,96,,NZ Dollars (millions),12,23.8
_01_Total_RD_Expenditure,Published_Industry,01_Primary,2018,98,,NZ Dollars (millions),12,49.8
_01_Total_RD_Expenditure,Published_Industry,01_Primary,2019,98,,NZ Dollars (millions),12,30.2
_01_Total_RD_Expenditure,Published_Industry,01_Primary,2020,101,,NZ Dollars (millions),12,29.7
_01_Total_RD_Expenditure,Published_Industry,01_Primary,2021,91,,NZ Dollars (millions),12,26
_01_Total_RD_Expenditure,Published_Industry,01_Primary,2022,90,,NZ Dollars (millions),12,42.7
_01_Total_RD_Expenditure,Published_Industry,02_Food_Manufacturing,2016,110,,NZ Dollars (millions),12,27.1
_01_Total_RD_Expenditure,Published_Industry,02_Food_Manufacturing,2018,74,,NZ Dollars (millions),12,17.8
_01_Total_RD_Expenditure,Published_Industry,02_Food_Manufacturing,2019,78,,NZ Dollars (millions),12,22.7
_01_Total_RD_Expenditure,Published_Industry,02_Food_Manufacturing,2020,108,,NZ Dollars (millions),12,12.6
_01_Total_RD_Expenditure,Published_Industry,02_Food_Manufacturing,2021,99,,NZ Dollars (millions),12,18.2
_01_Total_RD_Expenditure,Published_Industry,02_Food_Manufacturing,2022,86,,NZ Dollars (millions),12,12.1
_01_Total_RD_Expenditure,Published_Industry,03_Beverage and tobacco manufacturing,2016,7,,NZ Dollars (millions),3 and 12,23.5
_01_Total_RD_Expenditure,Published_Industry,03_Beverage and tobacco manufacturing,2018,9,,NZ Dollars (millions),3 and 12,57.7
_01_Total_RD_Expenditure,Published_Industry,03_Beverage and tobacco manufacturing,2019,10,,NZ Dollars (millions),3 and 12,32.7
_01_Total_RD_Expenditure,Published_Industry,03_Beverage and tobacco manufacturing,2020,12,,NZ Dollars (millions),3 and 12,63.9
_01_Total_RD_Expenditure,Published_Industry,03_Beverage and tobacco manufacturing,2021,11,,NZ Dollars (millions),3 and 12,13.9
_01_Total_RD_Expenditure,Published_Industry,03_Beverage and tobacco manufacturing,2022,9,,NZ Dollars (millions),3 and 12,14.1
_01_Total_RD_Expenditure,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2016,6,,NZ Dollars (millions),3 and 12,14.2
_01_Total_RD_Expenditure,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2018,9,,NZ Dollars (millions),3 and 12,33.5
_01_Total_RD_Expenditure,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2019,11,,NZ Dollars (millions),3 and 12,30.8
_01_Total_RD_Expenditure,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2020,12,,NZ Dollars (millions),3 and 12,41.2
_01_Total_RD_Expenditure,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2021,14,,NZ Dollars (millions),3 and 12,26.8
_01_Total_RD_Expenditure,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2022,12,,NZ Dollars (millions),3 and 12,17.2
_01_Total_RD_Expenditure,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2016,76,,NZ Dollars (millions),12,14.5
_01_Total_RD_Expenditure,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2018,119,,NZ Dollars (millions),12,36
_01_Total_RD_Expenditure,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2019,100,,NZ Dollars (millions),12,19
_01_Total_RD_Expenditure,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2020,82,,NZ Dollars (millions),12,17.2
_01_Total_RD_Expenditure,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2021,69,,NZ Dollars (millions),12,11.8
_01_Total_RD_Expenditure,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2022,56,,NZ Dollars (millions),12,11.4
_01_Total_RD_Expenditure,Published_Industry,06_Non-metallic mineral product manufacturing,2016,3,,NZ Dollars (millions),3 and 12,27.9
_01_Total_RD_Expenditure,Published_Industry,06_Non-metallic mineral product manufacturing,2018,3,,NZ Dollars (millions),3 and 12,52.2
_01_Total_RD_Expenditure,Published_Industry,06_Non-metallic mineral product manufacturing,2019,3,,NZ Dollars (millions),3 and 12,93.8
_01_Total_RD_Expenditure,Published_Industry,06_Non-metallic mineral product manufacturing,2020,2,,NZ Dollars (millions),3 and 12,121.6
_01_Total_RD_Expenditure,Published_Industry,06_Non-metallic mineral product manufacturing,2021,6,,NZ Dollars (millions),3 and 12,17.3
_01_Total_RD_Expenditure,Published_Industry,06_Non-metallic mineral product manufacturing,2022,5,,NZ Dollars (millions),3 and 12,33.7
_01_Total_RD_Expenditure,Published_Industry,07_Metal product manufacturing,2016,67,,NZ Dollars (millions),12,27.9
_01_Total_RD_Expenditure,Published_Industry,07_Metal product manufacturing,2018,71,,NZ Dollars (millions),12,10.4
_01_Total_RD_Expenditure,Published_Industry,07_Metal product manufacturing,2019,82,,NZ Dollars (millions),12,9
_01_Total_RD_Expenditure,Published_Industry,07_Metal product manufacturing,2020,93,,NZ Dollars (millions),12,10
_01_Total_RD_Expenditure,Published_Industry,07_Metal product manufacturing,2021,72,,NZ Dollars (millions),12,19.3
_01_Total_RD_Expenditure,Published_Industry,07_Metal product manufacturing,2022,69,,NZ Dollars (millions),12,16.8
_01_Total_RD_Expenditure,Published_Industry,08_Machinery and equipment manufacturing,2016,392,,NZ Dollars (millions),12,11
_01_Total_RD_Expenditure,Published_Industry,08_Machinery and equipment manufacturing,2018,372,,NZ Dollars (millions),12,13.1
_01_Total_RD_Expenditure,Published_Industry,08_Machinery and equipment manufacturing,2019,450,,NZ Dollars (millions),12,12.6
_01_Total_RD_Expenditure,Published_Industry,08_Machinery and equipment manufacturing,2020,497,,NZ Dollars (millions),12,11.7
_01_Total_RD_Expenditure,Published_Industry,08_Machinery and equipment manufacturing,2021,461,,NZ Dollars (millions),12,10
_01_Total_RD_Expenditure,Published_Industry,08_Machinery and equipment manufacturing,2022,527,,NZ Dollars (millions),12,10.2
_01_Total_RD_Expenditure,Published_Industry,09_Other manufacturing,2016,10,,NZ Dollars (millions),3 and 12,21.5
_01_Total_RD_Expenditure,Published_Industry,09_Other manufacturing,2018,17,,NZ Dollars (millions),12,33.6
_01_Total_RD_Expenditure,Published_Industry,09_Other manufacturing,2019,28,,NZ Dollars (millions),12,32.5
_01_Total_RD_Expenditure,Published_Industry,09_Other manufacturing,2020,18,,NZ Dollars (millions),12,21.3
_01_Total_RD_Expenditure,Published_Industry,09_Other manufacturing,2021,21,,NZ Dollars (millions),12,33.1
_01_Total_RD_Expenditure,Published_Industry,09_Other manufacturing,2022,30,,NZ Dollars (millions),12,37.9
_01_Total_RD_Expenditure,Published_Industry,10_Wholesale trade,2016,111,,NZ Dollars (millions),12,17.3
_01_Total_RD_Expenditure,Published_Industry,10_Wholesale trade,2018,233,,NZ Dollars (millions),12,40.3
_01_Total_RD_Expenditure,Published_Industry,10_Wholesale trade,2019,180,,NZ Dollars (millions),12,16.8
_01_Total_RD_Expenditure,Published_Industry,10_Wholesale trade,2020,174,,NZ Dollars (millions),12,21
_01_Total_RD_Expenditure,Published_Industry,10_Wholesale trade,2021,185,,NZ Dollars (millions),12,17.1
_01_Total_RD_Expenditure,Published_Industry,10_Wholesale trade,2022,193,,NZ Dollars (millions),12,11.1
_01_Total_RD_Expenditure,Published_Industry,11_Scientific research and technical services,2016,75,,NZ Dollars (millions),12,18.8
_01_Total_RD_Expenditure,Published_Industry,11_Scientific research and technical services,2018,118,,NZ Dollars (millions),12,48.2
_01_Total_RD_Expenditure,Published_Industry,11_Scientific research and technical services,2019,102,,NZ Dollars (millions),12,29.3
_01_Total_RD_Expenditure,Published_Industry,11_Scientific research and technical services,2020,181,,NZ Dollars (millions),12,36.7
_01_Total_RD_Expenditure,Published_Industry,11_Scientific research and technical services,2021,202,,NZ Dollars (millions),12,20.8
_01_Total_RD_Expenditure,Published_Industry,11_Scientific research and technical services,2022,321,,NZ Dollars (millions),12,11.7
_01_Total_RD_Expenditure,Published_Industry,12_Computer services,2016,436,,NZ Dollars (millions),12,12.5
_01_Total_RD_Expenditure,Published_Industry,12_Computer services,2018,582,,NZ Dollars (millions),12,16.2
_01_Total_RD_Expenditure,Published_Industry,12_Computer services,2019,748,,NZ Dollars (millions),12,11.5
_01_Total_RD_Expenditure,Published_Industry,12_Computer services,2020,924,,NZ Dollars (millions),12,12
_01_Total_RD_Expenditure,Published_Industry,12_Computer services,2021,968,,NZ Dollars (millions),12,10.3
_01_Total_RD_Expenditure,Published_Industry,12_Computer services,2022,1032,,NZ Dollars (millions),12,11.9
_01_Total_RD_Expenditure,Published_Industry,13_Other services,2016,212,,NZ Dollars (millions),4 and 12,24.9
_01_Total_RD_Expenditure,Published_Industry,13_Other services,2018,428,,NZ Dollars (millions),4 and 12,45.3
_01_Total_RD_Expenditure,Published_Industry,13_Other services,2019,517,,NZ Dollars (millions),4 and 12,17.5
_01_Total_RD_Expenditure,Published_Industry,13_Other services,2020,505,,NZ Dollars (millions),4 and 12,11.7
_01_Total_RD_Expenditure,Published_Industry,13_Other services,2021,645,,NZ Dollars (millions),4 and 12,11.2
_01_Total_RD_Expenditure,Published_Industry,13_Other services,2022,663,,NZ Dollars (millions),4 and 12,17.5
_01_Total_RD_Expenditure,Published_Industry,14_Scientific research,2016,589,,NZ Dollars (millions),3 and 12,0
_01_Total_RD_Expenditure,Published_Industry,14_Scientific research,2018,762,,NZ Dollars (millions),3 and 12,8.1
_01_Total_RD_Expenditure,Published_Industry,14_Scientific research,2019,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,Published_Industry,14_Scientific research,2020,715,R,NZ Dollars (millions),3 and 12,0
_01_Total_RD_Expenditure,Published_Industry,14_Scientific research,2021,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,Published_Industry,14_Scientific research,2022,800,,NZ Dollars (millions),3 and 12,0
_01_Total_RD_Expenditure,Published_Industry,15_Other government research,2016,69,,NZ Dollars (millions),3 and 12,34.2
_01_Total_RD_Expenditure,Published_Industry,15_Other government research,2018,66,,NZ Dollars (millions),3 and 12,36.4
_01_Total_RD_Expenditure,Published_Industry,15_Other government research,2019,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,Published_Industry,15_Other government research,2020,86,,NZ Dollars (millions),3 and 12,28.8
_01_Total_RD_Expenditure,Published_Industry,15_Other government research,2021,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,Published_Industry,15_Other government research,2022,100,,NZ Dollars (millions),3 and 12,20.3
_01_Total_RD_Expenditure,Published_Industry,16_Higher Education,2016,877,,NZ Dollars (millions),3 and 12,0
_01_Total_RD_Expenditure,Published_Industry,16_Higher Education,2018,960,,NZ Dollars (millions),3 and 12,0
_01_Total_RD_Expenditure,Published_Industry,16_Higher Education,2019,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,Published_Industry,16_Higher Education,2020,1202,R,NZ Dollars (millions),3 and 12,0
_01_Total_RD_Expenditure,Published_Industry,16_Higher Education,2021,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,Published_Industry,16_Higher Education,2022,1254,P,NZ Dollars (millions),3 and 12,0
_01_Total_RD_Expenditure,Sector,01_Business Sector,2016,1602,,NZ Dollars (millions),1 and 12,6.3
_01_Total_RD_Expenditure,Sector,01_Business Sector,2018,2134,,NZ Dollars (millions),1 and 12,12
_01_Total_RD_Expenditure,Sector,01_Business Sector,2019,2407,,NZ Dollars (millions),1 and 12,6.2
_01_Total_RD_Expenditure,Sector,01_Business Sector,2020,2709,,NZ Dollars (millions),1 and 12,6
_01_Total_RD_Expenditure,Sector,01_Business Sector,2021,2843,,NZ Dollars (millions),1 and 12,5.1
_01_Total_RD_Expenditure,Sector,01_Business Sector,2022,3093,,NZ Dollars (millions),1 and 12,6.1
_01_Total_RD_Expenditure,Sector,02_Government Sector,2016,658,,NZ Dollars (millions),1 and 2 and 3 and 12,3.6
